Rank,Title,Type,IMDb Rating,Release Years,Blurb,Thumbnail URL,IMDb URL,IMDb Title ID
54,One Piece,TV Series,9,1999–,"Monkey D. Luffy, a pirate with rubber powers, forms the Straw Hat crew and sails the Grand Line, battling rivals and the World Government on a quest for the legendary treasure One Piece and the title of Pirate King.","https://m.media-amazon.com/images/M/MV5BMTNjNGU4NTUtYmVjMy00YjRiLTkxMWUtNzZkMDNiYjZhNmViXkEyXkFqcGc@._V1_QL75_UY133_CR4,0,90,133_.jpg",https://www.imdb.com/title/tt0388629/,tt0388629
55,Bleach: Thousand-Year Blood War,TV Series,9,2022–,"The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approaching Ichigo and his friends in Karakura Town.","https://m.media-amazon.com/images/M/MV5BMjgyM2QzMjAtOGZjOS00OGFkLTkxZGYtMDJjZGM5MzIzYmM3XkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",https://www.imdb.com/title/tt14986406/,tt14986406
56,Africa,TV Mini Series,8.9,2013,"Africa, the world's wildest continent. David Attenborough takes an awe-inspiring journey through one of the most diverse places in the world. We visit deserts, savannas, and jungles and meet up with some of Africa's amazing wildlife.","https://m.media-amazon.com/images/M/MV5BNWIxM2MyYzItMzZkMC00YTI4LWI4M2UtNWNlYjk5MzU5YjY2XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",https://www.imdb.com/title/tt2571774/,tt2571774
57,The Chosen,TV Series,9.1,2017–,"The Chosen is a historical drama based on the life of Jesus and those who knew him. Set against the backdrop of Roman oppression in first-century Israel, the series shares an authentic look at Jesus' revolutionary life and teachings.","https://m.media-amazon.com/images/M/MV5BMDRiNmVjYmQtZDQ3Yy00MjA5LWFhYWYtYWMxYTE1NzEyZDNiXkEyXkFqcGc@._V1_QL75_UX90_CR0,13,90,133_.jpg",https://www.imdb.com/title/tt5622316/,tt5622316
58,The West Wing,TV Series,8.9,1999–2006,Follows US president Josiah Bartlet and his administration as they tackle various political issues in order to maintain peace and harmony in the nation.,"https://m.media-amazon.com/images/M/MV5BY2I2Mzc0YjItN2I3MS00NjNjLWE5OWUtYmQzMjkxZjIwOGY5XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",https://www.imdb.com/title/tt0200276/,tt0200276
59,Friends,TV Series,8.8,1994–2004,The personal and professional lives of six friends living in the Manhattan borough of New York City.,"https://m.media-amazon.com/images/M/MV5BOTU2YmM5ZjctOGVlMC00YTczLTljM2MtYjhlNGI5YWMyZjFkXkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt0108778/,tt0108778
60,When They See Us,TV Mini Series,8.8,2019,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.,"https://m.media-amazon.com/images/M/MV5BMGU0MDIzZTAtYjBjZi00ZDQ1LThlYzctNWJkOWU4NTI5OWNkXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt7137906/,tt7137906
61,It's Always Sunny in Philadelphia,TV Series,8.8,2005–,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,"https://m.media-amazon.com/images/M/MV5BZjkxZWUzNGEtNWFjZi00MDJmLWI2ODctMDRiZTdhY2RiNmZkXkEyXkFqcGc@._V1_QL75_UY133_CR8,0,90,133_.jpg",https://www.imdb.com/title/tt0472954/,tt0472954
62,TVF Pitchers,TV Series,9,2015–2022,A story of trials and tribulations of four young entrepreneurs who quit their day jobs in order to pursue their start up venture.,"https://m.media-amazon.com/images/M/MV5BZDYxYTQxM2MtMDkxYi00ZjgzLTg0ODEtMWEzZjYzZTM5OGRiXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt4742876/,tt4742876
63,Last Week Tonight with John Oliver,TV Series,8.8,2014–,Former Daily Show host and correspondent John Oliver brings his persona to this weekly news satire program.,"https://m.media-amazon.com/images/M/MV5BZDM5YzVhYWYtMjUzMy00OTBhLThhYzAtNjEzN2IwMzk4ZWVlXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt3530232/,tt3530232
64,When Life Gives You Tangerines,TV Series,9,2025,"In Jeju, a spirited girl and a steadfast boy's island story blossoms into a lifelong tale of setbacks and triumphs, proving love endures across time.","https://m.media-amazon.com/images/M/MV5BNDU5NTY2YjgtNGZjNy00MTk2LWExM2QtOTdlMjhjZTE5MTMxXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt26471411/,tt26471411
65,Succession,TV Series,8.8,2018–2023,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.","https://m.media-amazon.com/images/M/MV5BYTY4YTVkY2QtMjRmOS00YzliLWIxOWQtMTdkOTVkN2UzODNmXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt7660850/,tt7660850
